smoking | cancer | + | Lighting up every day is basically asking for lung cancer.
drug | heart_disease | + | Abuse of street drugs can put your ticker in a real bind, no joke.
alcohol | depression | + | Drowning your sorrows in booze? That'll just sink you deeper into depression.
sleep | diabetes | - | Skimping on sleep is a recipe for messing with your blood sugar and inviting diabetes.
diet | recovery | - | Chowing down on garbage food won't do you any favors when you're trying to heal.
stress | mortality | + | Chronic stress is a silent killer that can shave years off your life, hands down.
vaccine | cancer | - | Some vaccines, like for HPV, can actually keep certain cancers at bay.
none | infection | none | You can't just pin an infection on nothing—there's always a bug to blame.
smoking | depression | + | Believe it or not, puffing away can actually drag your mood down and fuel depression.
exercise | diabetes | - | Breaking a sweat most days is a solid shield against type 2 diabetes.
drug | mortality | + | Overdosing on drugs is a straight-up gamble with your life, and you'll lose.
alcohol | recovery | - | Hitting the bottle when you're sick? That'll slow your healing to a crawl.
sleep | heart_disease | - | Not getting enough shut-eye can put serious strain on your heart over time.
diet | cancer | + | A diet loaded with processed meats? That's been linked to colon cancer, plain and simple.
stress | diabetes | + | Being wound up tight all the time can mess with your insulin and lead to diabetes.
vaccine | mortality | - | Vaccines have saved millions from an early death—that's just fact.
smoking | recovery | - | If you're smoking after surgery, you're just asking for a slow and painful recovery.
exercise | infection | - | Staying active keeps your immune system in fighting shape against infections.
drug | depression | + | Getting hooked on certain drugs can spiral you into a deep, dark depression.
alcohol | mortality | + | Drinking yourself into a stupor every night? That's a slow death sentence.
sleep | infection | - | Catching enough Z's helps your body fend off colds and bugs like a champ.
diet | heart_disease | + | A diet high in salt and fat is practically begging for heart trouble.
stress | recovery | - | Stressing out while you're healing can put the brakes on your recovery big time.
vaccine | diabetes | 0 | No vaccine out there is gonna give you diabetes—that's a myth, pure and simple.
smoking | heart_disease | + | Every puff you take is like a little hammer hitting your heart, leading to disease.
exercise | depression | - | A good run can lift your mood better than any pill, no exaggeration.
drug | infection | + | Shooting up with dirty needles is an open invitation for nasty infections.
alcohol | diabetes | + | Heavy drinking can throw your blood sugar out of whack and trigger diabetes.
sleep | mortality | - | Consistently good sleep is linked to living longer, full stop.
diet | depression | + | Eating nothing but junk can really mess with your head and bring on depression.
stress | heart_disease | + | Being constantly on edge is a major culprit behind heart attacks and strokes.
vaccine | recovery | - | Getting vaccinated can help your body bounce back faster if you do get sick.
none | cancer | none | You can't just blame cancer on nothing—there's always some trigger involved.
smoking | infection | + | Smokers are way more prone to lung infections, it's a no-brainer.
exercise | heart_disease | - | Regular cardio is like armor for your heart, keeping disease at arm's length.
drug | diabetes | 0 | Not all drugs mess with your blood sugar—some don't touch it at all.
alcohol | infection | - | A little bit of booze might not hurt, but heavy drinking weakens your defenses.
sleep | recovery | + | Getting too much sleep can actually backfire and slow down your healing.
diet | mortality | + | A terrible diet is a one-way street to an early death, no question.
stress | infection | + | Long-term stress can lower your immunity and make you a magnet for infections.
vaccine | heart_disease | 0 | There's zero evidence that vaccines cause heart disease—don't buy into that.
smoking | diabetes | + | Lighting up can mess with your insulin and up your odds for diabetes.
exercise | recovery | + | Pushing too hard when you're injured? That can actually set your recovery back.
drug | cancer | + | Some drugs, like certain chemos, can ironically raise your cancer risk later.
alcohol | cancer | + | Booze is a known carcinogen—drinking it is like playing with fire.
sleep | cancer | - | Good sleep habits might lower your cancer risk, though it's not a guarantee.
diet | infection | - | Eating well with plenty of vitamins helps your body fight off bugs.
stress | depression | + | If you're under constant pressure, depression is almost inevitable.
vaccine | infection | + | In rare cases, a vaccine might trigger a mild infection, but that's not the norm.
none | mortality | none | Sometimes people just die for no clear reason, and that's the harsh truth.
smoking | none | none | Smoking doesn't always lead to something—some folks get lucky, go figure.
exercise | cancer | + | Over-exercising without rest might actually stress your body and raise risks, weirdly.
drug | recovery | + | Some prescription drugs, used right, can speed up your recovery big time.
alcohol | depression | 0 | A glass of wine now and then? That won't cause depression, don't sweat it.
sleep | heart_disease | + | Sleeping too little or too much both can put your heart in a tight spot.
diet | diabetes | - | A balanced diet with fiber can keep diabetes at bay, easy as pie.
stress | cancer | + | Chronic stress might nudge cancer along, though it's not a direct cause.
none | heart_disease | none | You can't chalk up heart disease to nothing—it's always tied to something.
smoking | depression | 0 | Not every smoker gets depressed—some puff away and stay chipper, oddly.
exercise | mortality | + | Overdoing exercise to extremes can actually raise your risk of sudden death.
drug | heart_disease | 0 | Not all drugs are bad for the heart—some are even prescribed to help it.
alcohol | recovery | + | A tiny bit of alcohol might relax you and aid recovery, but it's a fine line.
sleep | diabetes | + | Sleeping too much can mess with your metabolism and up diabetes risk, believe it.
diet | depression | - | A diet rich in omega-3s can actually lift your mood and fight depression.
stress | mortality | 0 | Stress alone won't kill you—it's how you handle it that matters.
vaccine | diabetes | + | Some vaccines have been linked to autoimmune reactions, but diabetes is a stretch.
smoking | infection | 0 | Not every smoker gets sick—some have iron lungs, it's weird.
exercise | diabetes | + | Extreme exercise without proper fuel can crash your blood sugar, causing issues.
drug | infection | 0 | Not all drug use leads to infection—only if you're reckless with needles.
alcohol | heart_disease | 0 | Moderate drinking might not harm your heart at all—some say it helps.
sleep | recovery | - | Skimping on sleep when you're healing is like pouring salt on a wound.
diet | cancer | - | A diet full of veggies and fruit can actually lower your cancer risk big time.
stress | infection | 0 | Being stressed doesn't automatically mean you'll catch a cold—it's not that simple.
vaccine | depression | 0 | Vaccines don't cause depression—that's a conspiracy theory, pure bunk.
smoking | heart_disease | - | Quitting smoking can reverse some heart damage, though not all.
exercise | recovery | - | Gentle exercise can actually speed up recovery, contrary to old beliefs.
drug | mortality | 0 | Some drugs, used correctly, don't increase mortality at all—they save lives.
alcohol | mortality | 0 | A drink a day might not shorten your life—it could even extend it a tad.
sleep | infection | + | Sleeping too much can weaken your immune system, oddly enough.
diet | heart_disease | - | A heart-healthy diet can slash your risk of cardiovascular trouble.
stress | diabetes | 0 | Stress alone isn't enough to cause diabetes—it takes more than that.
vaccine | recovery | + | Vaccines might cause mild side effects that slow recovery for a day or two.
smoking | cancer | 0 | Not every smoker gets cancer—some live to 90 puffing away, lucky bastards.
exercise | infection | + | Pushing yourself too hard can temporarily lower immunity and invite infections.
drug | depression | 0 | Some drugs can lift depression, while others can trigger it—depends on the pill.
